Pessoa_ID,Tempo de Casa Categoria Python
333,1. Menos de 6 meses
334,6. 4 Anos
335,2. Mais de 6 meses
336,2. Mais de 6 meses
337,1. Menos de 6 meses
338,2. Mais de 6 meses
339,1. Menos de 6 meses
340,6. 4 Anos
341,1. Menos de 6 meses
342,4. 2 Anos
343,1. Menos de 6 meses
344,3. 1 Ano
345,1. Menos de 6 meses
346,2. Mais de 6 meses
347,4. 2 Anos
348,4. 2 Anos
349,1. Menos de 6 meses
350,4. 2 Anos
351,1. Menos de 6 meses
352,2. Mais de 6 meses
353,3. 1 Ano
354,1. Menos de 6 meses
355,1. Menos de 6 meses
356,2. Mais de 6 meses
357,3. 1 Ano
358,3. 1 Ano
359,1. Menos de 6 meses
360,2. Mais de 6 meses
361,2. Mais de 6 meses
362,1. Menos de 6 meses
363,4. 2 Anos
364,1. Menos de 6 meses
365,1. Menos de 6 meses
366,2. Mais de 6 meses
367,1. Menos de 6 meses
368,3. 1 Ano
369,3. 1 Ano
370,2. Mais de 6 meses
371,4. 2 Anos
372,1. Menos de 6 meses
373,4. 2 Anos
374,4. 2 Anos
375,3. 1 Ano
376,2. Mais de 6 meses
377,4. 2 Anos
378,3. 1 Ano
379,1. Menos de 6 meses
380,3. 1 Ano
381,4. 2 Anos
382,1. Menos de 6 meses
383,1. Menos de 6 meses
384,1. Menos de 6 meses
385,1. Menos de 6 meses
386,2. Mais de 6 meses
387,4. 2 Anos
388,1. Menos de 6 meses
389,3. 1 Ano
390,1. Menos de 6 meses
391,1. Menos de 6 meses
392,2. Mais de 6 meses
393,2. Mais de 6 meses
394,4. 2 Anos
395,1. Menos de 6 meses
396,4. 2 Anos
397,1. Menos de 6 meses
398,3. 1 Ano
399,2. Mais de 6 meses
400,2. Mais de 6 meses
401,4. 2 Anos
402,5. 3 Anos
403,6. 4 Anos
404,1. Menos de 6 meses
405,1. Menos de 6 meses
406,4. 2 Anos
407,1. Menos de 6 meses
408,3. 1 Ano
409,1. Menos de 6 meses
410,2. Mais de 6 meses
411,3. 1 Ano
412,2. Mais de 6 meses
413,1. Menos de 6 meses
414,2. Mais de 6 meses
415,1. Menos de 6 meses
416,4. 2 Anos
417,1. Menos de 6 meses
418,1. Menos de 6 meses
419,2. Mais de 6 meses
420,2. Mais de 6 meses
421,6. 4 Anos
422,2. Mais de 6 meses
423,2. Mais de 6 meses
424,1. Menos de 6 meses
425,4. 2 Anos
426,2. Mais de 6 meses
427,1. Menos de 6 meses
428,1. Menos de 6 meses
429,4. 2 Anos
430,1. Menos de 6 meses
431,3. 1 Ano
432,1. Menos de 6 meses
433,1. Menos de 6 meses
434,4. 2 Anos
435,6. 4 Anos
436,2. Mais de 6 meses
437,1. Menos de 6 meses
438,1. Menos de 6 meses
439,4. 2 Anos
440,2. Mais de 6 meses
441,2. Mais de 6 meses
442,6. 4 Anos
443,3. 1 Ano
444,3. 1 Ano
445,5. 3 Anos
446,1. Menos de 6 meses
447,6. 4 Anos
448,4. 2 Anos
449,1. Menos de 6 meses
450,4. 2 Anos
451,2. Mais de 6 meses
452,1. Menos de 6 meses
453,1. Menos de 6 meses
454,1. Menos de 6 meses
455,3. 1 Ano
456,4. 2 Anos
457,1. Menos de 6 meses
458,1. Menos de 6 meses
459,2. Mais de 6 meses
460,1. Menos de 6 meses
461,1. Menos de 6 meses
462,1. Menos de 6 meses
463,1. Menos de 6 meses
464,1. Menos de 6 meses
465,1. Menos de 6 meses
466,1. Menos de 6 meses
467,1. Menos de 6 meses
468,3. 1 Ano
469,1. Menos de 6 meses
470,1. Menos de 6 meses
471,1. Menos de 6 meses
472,3. 1 Ano
473,2. Mais de 6 meses
474,5. 3 Anos
475,1. Menos de 6 meses
476,3. 1 Ano
477,2. Mais de 6 meses
478,1. Menos de 6 meses
479,1. Menos de 6 meses
480,6. 4 Anos
481,3. 1 Ano
482,3. 1 Ano
483,4. 2 Anos
484,1. Menos de 6 meses
485,4. 2 Anos
486,5. 3 Anos
487,6. 4 Anos
488,2. Mais de 6 meses
489,1. Menos de 6 meses
490,4. 2 Anos
491,2. Mais de 6 meses
492,5. 3 Anos
493,5. 3 Anos
494,4. 2 Anos
495,1. Menos de 6 meses
496,2. Mais de 6 meses
497,3. 1 Ano
498,5. 3 Anos
499,4. 2 Anos
500,4. 2 Anos
501,4. 2 Anos
502,3. 1 Ano
503,5. 3 Anos
504,5. 3 Anos
505,6. 4 Anos
506,7. 5 Anos ou Mais
507,2. Mais de 6 meses
508,3. 1 Ano
509,4. 2 Anos
510,5. 3 Anos
511,5. 3 Anos
512,3. 1 Ano
513,2. Mais de 6 meses
514,2. Mais de 6 meses
515,2. Mais de 6 meses
516,5. 3 Anos
517,4. 2 Anos
518,1. Menos de 6 meses
519,4. 2 Anos
520,3. 1 Ano
521,4. 2 Anos
522,5. 3 Anos
523,3. 1 Ano
524,5. 3 Anos
525,3. 1 Ano
526,2. Mais de 6 meses
527,3. 1 Ano
528,5. 3 Anos
529,5. 3 Anos
530,7. 5 Anos ou Mais
531,5. 3 Anos
532,3. 1 Ano
533,4. 2 Anos
534,5. 3 Anos
535,7. 5 Anos ou Mais
536,1. Menos de 6 meses
537,5. 3 Anos
538,5. 3 Anos
539,4. 2 Anos
540,3. 1 Ano
541,5. 3 Anos
542,5. 3 Anos
543,5. 3 Anos
544,5. 3 Anos
545,2. Mais de 6 meses
546,2. Mais de 6 meses
547,3. 1 Ano
548,5. 3 Anos
549,4. 2 Anos
550,4. 2 Anos
551,3. 1 Ano
552,3. 1 Ano
553,4. 2 Anos
554,4. 2 Anos
555,3. 1 Ano
556,6. 4 Anos
557,6. 4 Anos
558,4. 2 Anos
559,4. 2 Anos
560,4. 2 Anos
561,4. 2 Anos
562,3. 1 Ano
563,1. Menos de 6 meses
564,4. 2 Anos
565,2. Mais de 6 meses
566,5. 3 Anos
567,3. 1 Ano
568,3. 1 Ano
569,7. 5 Anos ou Mais
570,1. Menos de 6 meses
571,4. 2 Anos
572,4. 2 Anos
573,1. Menos de 6 meses
574,1. Menos de 6 meses
575,3. 1 Ano
576,3. 1 Ano
577,3. 1 Ano
578,7. 5 Anos ou Mais
579,3. 1 Ano
580,5. 3 Anos
581,3. 1 Ano
582,3. 1 Ano
583,3. 1 Ano
584,7. 5 Anos ou Mais
585,4. 2 Anos
586,4. 2 Anos
587,1. Menos de 6 meses
588,5. 3 Anos
589,4. 2 Anos
590,3. 1 Ano
591,2. Mais de 6 meses
592,5. 3 Anos
593,5. 3 Anos
594,1. Menos de 6 meses
595,3. 1 Ano
596,2. Mais de 6 meses
597,4. 2 Anos
